,loan_amnt,fico,loan_age_in_months,annual_inc,logged_inc,delinq_2yrs,mths_since_last_delinq
63,16023.38,495.0,59,39376.155065847226,10.580915710703316,6.0,55
64,15150.0,544.0,59,55431.17647058822,10.922897466626432,0.0,-1
67,17537.59,463.0,67,30737.454232936758,10.333237197558288,6.0,65
68,11245.0,521.0,64,24026.530534351146,10.086913937713673,24.0,62
69,14682.5,541.0,64,29953.58418367347,10.307404268626298,0.0,-1
70,14454.25,583.0,63,34937.345207253886,10.461311599326034,4.8,61
71,10069.94,515.0,63,17495.817541899443,9.76971713374138,0.0,-1
72,12806.0,573.0,63,30505.52680851064,10.325663153015942,0.0,-1
74,19326.84,604.0,63,36925.477924914674,10.51665705044147,0.0,-1
75,15624.25,533.0,63,33692.046032357466,10.425017065703983,0.0,-1
76,8977.96,526.0,63,23160.654414746543,10.050210187537582,0.0,-1
77,15867.73,437.0,62,58285.79562992125,10.973113699941406,6.0,61
78,17499.39,541.0,62,48067.50992149166,10.780361758453953,0.0,-1
79,10240.0,479.0,62,22064.480369515008,10.001724371438353,0.0,-1
80,20368.5,435.0,63,52208.2706043956,10.862996202017563,0.0,-1
81,9964.84,448.0,62,31694.985409090907,10.363913758364506,0.0,-1
82,15809.7,497.0,62,25043.2089983022,10.128357971887173,0.0,-1
83,9050.0,563.0,62,15398.753799392098,9.642041863009952,0.0,-1
84,21606.5,566.0,63,64064.18802966101,11.06764079769901,0.0,-1
87,15798.09,526.0,60,23383.8465943945,10.059800746488794,12.0,56
92,15530.51,604.0,60,47716.68220636663,10.773036347524183,12.0,56
97,21600.0,542.0,10,36597.094430992736,10.507724129106787,0.0,-1
99,13752.5,566.0,62,24446.947268106735,10.104260630997691,6.0,60
100,13110.0,556.0,60,46609.63151207115,10.749562483565768,0.0,-1
101,17571.07,562.0,25,41244.84384228188,10.627281386187093,0.0,-1
102,8835.75,562.0,61,19232.367898832683,9.864349966666978,24.0,57
104,12197.22,492.0,63,31282.67719008264,10.350819778915053,0.0,-1
105,15377.75,438.0,63,42232.1098820059,10.650936108366091,0.0,-1
106,26964.58,560.0,9,41724.13957894737,10.638835127081881,24.0,8
107,20047.75,475.0,64,62101.29883462819,11.036522182914254,0.0,-1
108,14074.0,533.0,63,27947.65836298932,10.23808869557406,0.0,-1
110,14819.0,460.0,60,49675.71033653846,10.813271366996458,0.0,-1
112,15682.96,512.0,23,116287.48,11.663820680089268,14.4,18
113,22207.23,586.0,5,33575.790260303685,10.42156055827911,0.0,-1
114,12232.5,557.0,61,33002.882381413365,10.404350181525588,0.0,-1
115,20097.3,470.0,60,120931.05356371489,11.702975856919613,24.0,55
116,16600.0,495.0,38,43820.85308056872,10.687865080795852,6.0,37
118,11942.91,571.0,63,21576.289059052564,9.979350261979201,0.0,-1
120,29731.17,477.0,9,86127.48309375,11.36358383917756,0.0,-1
121,11065.58,528.0,62,20976.29387448841,9.951148215940067,19.2,61
122,12260.0,510.0,60,43111.74683544304,10.671550787343424,0.0,-1
123,10490.06,476.0,66,20800.41875802998,9.942728398084347,6.0,63
126,20492.0,507.0,7,37204.572923479405,10.524186960756726,4.8,6
128,13048.75,452.0,66,33208.470183486235,10.410560248374095,0.0,-1
130,9434.04,448.0,62,19901.947397260275,9.898572865083496,0.0,-1
131,15689.85,462.0,62,32898.83827534039,10.401192625350095,30.0,59
133,13207.75,458.0,59,21253.586091753776,9.96428091737366,0.0,-1
135,18179.5,556.0,63,74686.9962908012,11.221061276861642,0.0,-1
137,11392.7,546.0,63,19140.01268973892,9.85953632800249,0.0,-1
138,9858.52,526.0,63,21710.721592356687,9.985561500107016,0.0,-1
139,10343.91,523.0,63,23962.5251758794,10.084246437989943,6.0,62
140,20850.22,607.0,13,47820.653830845775,10.775212913667605,12.0,12
141,15007.44,495.0,10,57414.35551867219,10.958049647182944,18.0,6
142,13031.0,469.0,60,20652.341743119265,9.935583993563542,0.0,-1
145,8367.79,515.0,61,77067.3459,11.252434940654725,0.0,-1
147,15505.25,449.0,60,34564.56860371267,10.450584407575679,0.0,-1
148,12952.75,463.0,59,23898.126586506347,10.081555349345471,0.0,-1
149,13372.25,526.0,63,24946.474493243244,10.12448778831945,0.0,-1
150,20928.05,470.0,23,65736.45739476678,11.09340895764278,0.0,-1
151,24414.25,567.0,8,153843.21917808222,11.94368930553828,6.0,7
152,25088.36,639.0,5,42716.76347933374,10.662346709512496,4.8,3
153,12124.44,592.0,65,17795.861587639854,9.786721214172594,0.0,-1
154,8964.14,447.0,62,25850.514722513086,10.160085791634394,0.0,-1
155,12544.18,496.0,60,61014.35961130742,11.018864518916457,0.0,-1
156,11711.05,464.0,60,50932.89202211689,10.838264202521676,0.0,-1
162,22419.22,592.0,6,29040.440414507775,10.276444634612568,0.0,-1
164,10463.96,576.0,62,32381.71405405405,10.385349161409774,0.0,-1
165,12196.82,484.0,62,31530.44342427093,10.358708816007324,0.0,-1
166,13420.75,553.0,62,23253.60718789407,10.054215546847729,0.0,-1
168,11981.02,483.0,61,69167.73731092438,11.144289809059066,12.0,58
169,16233.09,506.0,61,38857.60567944251,10.567659107019892,0.0,-1
171,12711.55,509.0,64,28057.300722891567,10.242004152410999,0.42105263157894735,61
172,13881.82,572.0,62,44254.340324825986,10.697708732062662,0.0,-1
173,10423.0,467.0,62,31895.77282850779,10.370228766779363,1.6842105263157894,61
174,16070.37,459.0,63,31862.465194805198,10.369183956327719,1.5238095238095237,59
175,10686.71,499.0,62,17574.553608617593,9.774207317131127,0.0,-1
176,15653.85,523.0,62,23214.667997841338,10.052539599160346,4.5,58
178,10183.96,558.0,62,18255.396007827785,9.812215986970182,0.0,-1
179,13223.63,500.0,62,34840.39812080537,10.45853285801956,0.0,-1
181,14000.0,539.0,61,32493.243243243243,10.388787446495684,0.0,-1
182,7941.79,544.0,9,23721.78143478261,10.07414895293842,0.0,-1
188,8766.5,493.0,60,31304.04291287386,10.351502534732456,0.0,-1
189,15633.71,535.0,60,36232.17925675675,10.497702932694466,0.0,-1
190,23202.87,473.0,6,49586.19570093458,10.811467761495756,0.0,-1
191,10589.48,489.0,61,69159.38961904762,11.144169114122763,0.0,-1
192,14145.18,497.0,63,24792.478428115013,10.118295596962696,0.0,-1
193,12168.07,455.0,62,18935.78203178207,9.84880864034293,0.0,-1
195,13010.61,459.0,63,32024.320125673254,10.374250897052413,0.0,-1
196,11882.53,497.0,63,21477.849215557024,9.974777413979934,0.0,-1
197,11176.01,455.0,63,20650.01308625337,9.935471232105849,0.0,-1
198,13293.93,511.0,63,25384.370515320337,10.141888929568431,0.0,-1
199,13315.05,592.0,63,41068.46692913386,10.622995878012686,0.0,-1
201,10512.53,458.0,63,45394.263401574804,10.72314101925224,0.0,-1
202,13358.92,579.0,62,27397.276469708308,10.218198888520007,0.7868852459016393,61
204,20885.44,505.0,10,31465.8661978022,10.356658624512747,0.0,-1
206,9615.0,537.0,60,47554.3321299639,10.769628170657713,0.0,-1
207,14870.01,477.0,62,40500.822465208745,10.609077560671363,0.0,-1
208,6183.45,475.0,13,49831.33235294118,10.816399228885912,6.0,11
209,16684.75,584.0,60,73708.91975806451,11.207879098779031,0.0,-1
217,8882.81,602.0,18,19211.006145339652,9.863238630514896,0.0,-1
218,15949.59,593.0,10,71472.95813420622,11.177074449230249,0.0,-1
219,15735.51,578.0,8,26545.795674676523,10.18662665912784,0.0,-1
220,19493.7,416.0,62,42786.09214113873,10.66396837878881,1.2,57
221,25419.56,600.0,21,79877.5381400689,11.288249967576466,19.2,18
222,17680.4,636.0,8,31971.95928618638,10.37261452532418,0.42105263157894735,7
223,11489.07,467.0,63,19013.99357142857,9.852930490822178,0.0,-1
224,24360.03,670.0,7,42940.24630560928,10.667564807457525,0.0,-1
225,17289.87,482.0,6,67529.29225714285,11.120316742092568,0.42105263157894735,1
226,19151.54,560.0,59,39265.6855363841,10.578106274879387,0.0,-1
227,15679.5,562.0,59,32439.116956850867,10.387120287046613,0.0,-1
228,26327.92,482.0,60,79595.35991150442,11.284711077564356,0.0,-1
