Date,PX_LAST
7/20/2022,3.0143
7/19/2022,3.0325
7/18/2022,2.9634
7/15/2022,2.9082
7/14/2022,2.9363
7/13/2022,2.9254
7/12/2022,2.8515
7/11/2022,2.8956
7/8/2022,2.9613
7/7/2022,2.8658
7/6/2022,2.824
7/5/2022,2.6453
7/4/2022,2.701
7/1/2022,2.6698
6/30/2022,2.8605
6/29/2022,2.9862
6/28/2022,3.0731
6/27/2022,3.0832
6/24/2022,3.0306
6/23/2022,2.9948
6/22/2022,3.0816
6/21/2022,3.2412
6/20/2022,3.251
6/17/2022,3.2508
6/16/2022,3.1835
6/15/2022,3.2378
6/14/2022,3.4735
6/13/2022,3.4071
6/10/2022,3.1488
6/9/2022,2.8963
6/8/2022,2.8513
6/7/2022,2.8112
6/6/2022,2.832
6/3/2022,2.7474
6/2/2022,2.7166
6/1/2022,2.7125
5/31/2022,2.6115
5/27/2022,2.5392
5/26/2022,2.5205
5/25/2022,2.5079
5/24/2022,2.5181
5/23/2022,2.642
5/20/2022,2.5865
5/19/2022,2.6342
5/18/2022,2.697
5/17/2022,2.7438
5/16/2022,2.5982
5/13/2022,2.6315
5/12/2022,2.6069
5/11/2022,2.6975
5/10/2022,2.6867
5/9/2022,2.6832
5/6/2022,2.8541
5/5/2022,2.8288
5/4/2022,2.7571
5/3/2022,2.8705
5/2/2022,2.8449
4/29/2022,2.8109
4/28/2022,2.7007
4/27/2022,2.6645
4/26/2022,2.5596
4/25/2022,2.6976
4/22/2022,2.7544
4/21/2022,2.784
4/20/2022,2.6613
4/19/2022,2.6953
4/18/2022,2.542
4/15/2022,2.5398
4/14/2022,2.5398
4/13/2022,2.4257
4/12/2022,2.4764
4/11/2022,2.5953
4/8/2022,2.5955
4/7/2022,2.527
4/6/2022,2.5338
4/5/2022,2.5648
4/4/2022,2.46
4/1/2022,2.4936
3/31/2022,2.3756
3/30/2022,2.3525
3/29/2022,2.4201
3/28/2022,2.427
3/25/2022,2.364
3/24/2022,2.234
3/23/2022,2.1523
3/22/2022,2.2255
3/21/2022,2.1732
3/18/2022,1.9998
3/17/2022,1.968
3/16/2022,1.9973
3/15/2022,1.894
3/14/2022,1.8915
3/11/2022,1.7557
3/10/2022,1.7076
3/9/2022,1.6767
3/8/2022,1.5731
