Date,PX_LAST
7/20/2022,3.1637
7/19/2022,3.1535
7/18/2022,3.1039
7/15/2022,3.0341
7/14/2022,3.0651
7/13/2022,3.0278
7/12/2022,3.0178
7/11/2022,3.0552
7/8/2022,3.1234
7/7/2022,3.032
7/6/2022,2.9797
7/5/2022,2.817
7/4/2022,2.8775
7/1/2022,2.8775
6/30/2022,3.0379
6/29/2022,3.1429
6/28/2022,3.233
6/27/2022,3.2545
6/24/2022,3.1857
6/23/2022,3.1464
6/22/2022,3.2301
6/21/2022,3.3634
6/20/2022,3.3418
6/17/2022,3.3418
6/16/2022,3.2843
6/15/2022,3.3664
6/14/2022,3.587
6/13/2022,3.482
6/10/2022,3.2585
6/9/2022,3.0633
6/8/2022,3.0303
6/7/2022,2.9854
6/6/2022,3.0334
6/3/2022,2.9337
6/2/2022,2.9094
6/1/2022,2.916
5/31/2022,2.8173
5/30/2022,2.7175
5/27/2022,2.7175
5/26/2022,2.7091
5/25/2022,2.7191
5/24/2022,2.7412
5/23/2022,2.8677
5/20/2022,2.7992
5/19/2022,2.8401
5/18/2022,2.8914
5/17/2022,2.9633
5/16/2022,2.8264
5/13/2022,2.8656
5/12/2022,2.8212
5/11/2022,2.8961
5/10/2022,2.9148
5/9/2022,2.9471
5/6/2022,3.0773
5/5/2022,3.0083
5/4/2022,2.9126
5/3/2022,3.0217
5/2/2022,3.0045
4/29/2022,2.9549
4/28/2022,2.8395
4/27/2022,2.83
4/26/2022,2.7335
4/25/2022,2.859
4/22/2022,2.9314
4/21/2022,2.9741
4/20/2022,2.8615
4/19/2022,2.9165
4/18/2022,2.789
4/15/2022,2.7872
4/14/2022,2.7872
4/13/2022,2.652
4/12/2022,2.6893
4/11/2022,2.7881
4/8/2022,2.7538
4/7/2022,2.7076
4/6/2022,2.682
4/5/2022,2.6955
4/4/2022,2.5503
4/1/2022,2.5587
3/31/2022,2.4599
3/30/2022,2.4382
3/29/2022,2.4983
3/28/2022,2.5564
3/25/2022,2.5456
3/24/2022,2.3985
3/23/2022,2.3179
3/22/2022,2.3996
3/21/2022,2.3209
3/18/2022,2.1428
3/17/2022,2.144
3/16/2022,2.181
3/15/2022,2.1051
3/14/2022,2.0899
3/11/2022,1.9463
3/10/2022,1.923
3/9/2022,1.8783
3/8/2022,1.7761
3/7/2022,1.704
3/4/2022,1.6372
3/3/2022,1.7322
3/2/2022,1.7552
3/1/2022,1.594
2/28/2022,1.7177
2/25/2022,1.8651
2/24/2022,1.8619
2/23/2022,1.9032
2/22/2022,1.8626
2/21/2022,1.8205
2/18/2022,1.8205
2/17/2022,1.8399
2/16/2022,1.9185
2/15/2022,1.9401
2/14/2022,1.9114
2/11/2022,1.8542
2/10/2022,1.9507
2/9/2022,1.8168
2/8/2022,1.8167
2/7/2022,1.765
2/4/2022,1.7682
2/3/2022,1.6704
2/2/2022,1.6079
2/1/2022,1.6177
1/31/2022,1.6094
1/28/2022,1.6127
1/27/2022,1.6583
